order_id,order_date,dt_month,country_code,channel_id,shop_id,warehouse_id,dest_warehouse,order_type,campaign_id,gmv,cost_promo_discount,cost_ad_spend,cost_refund,cost_front_total,cost_production,cost_freight,cost_warehouse,cost_commission,cost_other,cost_back_total,gross_margin_amt,gross_margin_pct,item_qty,sku_qty,created_at,paid_at,shipped_at,delivered_at,turnover_days
1,2025-06-17,2025-06,UK,AMZ,SHOP_EU,WH_UK,WH_AU,B2C_MEMBER,,232.56,21.6,12.33,11.22,45.15,48.55,11.75,10.98,32.72,3.84,107.84,79.57,0.3421,4,3,2025-06-17,2025-06-17 01:00:00,2025-06-18 06:00:00,2025-06-24 15:00:00,29
2,2026-01-14,2026-01,UK,AMZ,SHOP_EU,WH_US_WEST,WH_EU_DE,B2C_BUNDLE,,38.81,2.03,2.96,0.25,5.24,9.08,2.98,1.46,4.81,0.87,19.2,14.370000000000001,0.3703,5,1,2026-01-14,2026-01-14 00:00:00,2026-01-14 23:00:00,2026-01-20 09:00:00,25
3,2025-10-26,2025-10,US,DTC,SHOP_US,WH_US_EAST,WH_UK,B2C_MEMBER,,94.12,8.14,7.78,5.14,21.060000000000002,14.28,5.82,2.12,11.94,1.05,35.21,37.85,0.4021,1,2,2025-10-26,2025-10-26 00:00:00,2025-10-26 20:00:00,2025-10-29 10:00:00,26
4,2025-09-07,2025-09,DE,DTC,SHOP_US,WH_US_WEST,WH_US_EAST,B2C_PROMO,CAMP001,75.66,5.72,6.57,5.64,17.93,11.72,5.3,2.53,6.72,0.79,27.06,30.669999999999998,0.4054,5,1,2025-09-07,2025-09-07 00:00:00,2025-09-07 20:00:00,2025-09-13 17:00:00,27
5,2025-03-29,2025-03,UK,DTC,SHOP_EU,WH_UK,WH_AU,B2C_STD,CAMP003,82.39,4.47,7.93,3.79,16.189999999999998,17.08,4.39,3.52,12.05,1.57,38.61,27.590000000000003,0.3349,3,2,2025-03-29,2025-03-29 00:00:00,2025-03-29 07:00:00,2025-04-02 16:00:00,3
6,2025-03-29,2025-03,US,DTC,SHOP_US,WH_UK,WH_AU,B2C_STD,,229.86,7.69,11.93,2.32,21.94,53.32,11.05,10.07,20.52,3.83,98.78999999999999,109.13000000000002,0.4748,2,1,2025-03-29,2025-03-29 01:00:00,2025-03-29 09:00:00,2025-04-01 14:00:00,16
7,2025-02-22,2025-02,FR,DTC,SHOP_US,WH_AU,WH_US_EAST,B2C_BUNDLE,,132.98,3.92,11.98,6.19,22.09,24.29,4.71,4.63,17.85,2.5,53.980000000000004,56.90999999999998,0.428,2,1,2025-02-22,2025-02-22 00:00:00,2025-02-23 02:00:00,2025-02-28 15:00:00,28
8,2025-12-14,2025-12,DE,DTC,SHOP_EU,WH_UK,WH_AU,B2C_PROMO,,132.59,13.68,5.2,8.13,27.009999999999998,24.52,9.78,6.21,13.07,2.02,55.6,49.98000000000001,0.377,5,2,2025-12-14,2025-12-14 00:00:00,2025-12-14 13:00:00,2025-12-16 00:00:00,2
9,2025-09-08,2025-09,FR,AMZ,SHOP_US,WH_EU_DE,WH_US_EAST,B2C_STD,CAMP002,197.33,22.07,15.66,6.42,44.150000000000006,41.37,13.65,5.53,28.68,2.62,91.85,61.33000000000001,0.3108,2,2,2025-09-08,2025-09-08 01:00:00,2025-09-09 08:00:00,2025-09-14 21:00:00,15
10,2025-10-17,2025-10,DE,AMZ,SHOP_UK,WH_US_EAST,WH_UK,B2C_STD,CAMP003,63.99,5.44,5.24,4.5,15.18,11.35,2.46,2.07,8.34,1.52,25.74,23.070000000000004,0.3605,5,3,2025-10-17,2025-10-17 00:00:00,2025-10-18 12:00:00,2025-10-21 01:00:00,1
11,2025-02-08,2025-02,UK,AMZ,SHOP_UK,WH_AU,WH_EU_DE,B2C_MEMBER,,137.2,4.16,10.62,7.12,21.9,20.95,7.63,6.44,18.22,2.78,56.019999999999996,59.27999999999999,0.4321,3,3,2025-02-08,2025-02-08 00:00:00,2025-02-09 22:00:00,2025-02-16 20:00:00,9
12,2026-01-21,2026-01,US,DTC,SHOP_UK,WH_EU_DE,WH_US_EAST,B2C_PROMO,,124.6,7.5,5.94,8.96,22.400000000000002,27.85,6.77,5.84,11.88,1.74,54.08000000000001,48.119999999999976,0.3862,2,2,2026-01-21,2026-01-21 00:00:00,2026-01-22 05:00:00,2026-01-23 11:00:00,16
13,2025-12-01,2025-12,FR,DTC,SHOP_UK,WH_US_WEST,WH_US_WEST,B2C_STD,,161.32,14.99,14.7,8.05,37.739999999999995,34.29,9.88,6.54,17.91,2.64,71.26,52.31999999999999,0.3243,1,3,2025-12-01,2025-12-01 01:00:00,2025-12-02 09:00:00,2025-12-06 14:00:00,4
14,2025-04-19,2025-04,FR,AMZ,SHOP_EU,WH_US_EAST,WH_US_EAST,B2C_STD,,249.9,24.49,10.45,2.62,37.559999999999995,52.0,19.32,11.44,30.8,5.46,119.01999999999998,93.32000000000002,0.3734,5,2,2025-04-19,2025-04-19 00:00:00,2025-04-20 06:00:00,2025-04-23 22:00:00,12
15,2025-04-08,2025-04,US,DTC,SHOP_EU,WH_UK,WH_AU,B2C_STD,,199.28,6.34,6.73,4.94,18.01,44.67,11.76,4.52,26.68,2.28,89.91,91.36000000000001,0.4585,2,3,2025-04-08,2025-04-08 01:00:00,2025-04-08 22:00:00,2025-04-14 03:00:00,1
