return_id,order_id,return_reason,return_amount
RET-000000,ORD-000495,物流损坏,20.669517873115993
RET-000001,ORD-000321,物流损坏,33.282708483849035
RET-000002,ORD-000359,质量问题,30.056480305899697
RET-000003,ORD-000412,不满意,22.050826743143922
RET-000004,ORD-000354,其他,36.717948185550384
RET-000005,ORD-000191,其他,31.681159176425375
RET-000006,ORD-000344,不满意,29.555784733440497
RET-000007,ORD-000354,不满意,26.661807629340426
RET-000008,ORD-000446,物流损坏,32.214665431220084
RET-000009,ORD-000252,质量问题,29.718063648975882
RET-000010,ORD-000259,物流损坏,27.761143668140164
RET-000011,ORD-000259,不满意,20.980504168818275
RET-000012,ORD-000085,不满意,53.383755539405605
RET-000013,ORD-000071,其他,17.81128103671294
RET-000014,ORD-000049,其他,32.1706481130305
RET-000015,ORD-000355,质量问题,23.85284990527821
RET-000016,ORD-000236,质量问题,54.80705397161319
RET-000017,ORD-000446,物流损坏,18.889514601184715
RET-000018,ORD-000365,其他,20.20428469030773
RET-000019,ORD-000093,其他,18.394887535862097
RET-000020,ORD-000078,质量问题,30.857690938910388
RET-000021,ORD-000198,质量问题,15.654833766608379
RET-000022,ORD-000464,不满意,22.389421707044942
RET-000023,ORD-000053,不满意,11.46218860565254
RET-000024,ORD-000127,其他,29.84951350307138
RET-000025,ORD-000049,其他,22.196043593737922
RET-000026,ORD-000223,质量问题,14.950986771293287
RET-000027,ORD-000495,质量问题,41.85636018728405
RET-000028,ORD-000359,不满意,16.069663512131296
RET-000029,ORD-000259,不满意,37.29194964005348
RET-000030,ORD-000093,其他,20.482762328657305
RET-000031,ORD-000194,不满意,51.4509306811963
RET-000032,ORD-000287,不满意,36.59165524241299
RET-000033,ORD-000168,物流损坏,18.115734166976953
RET-000034,ORD-000365,质量问题,18.787034527357378
RET-000035,ORD-000481,其他,34.54317814988849
RET-000036,ORD-000130,其他,24.41136366151205
RET-000037,ORD-000147,质量问题,25.3369295430822
RET-000038,ORD-000085,不满意,45.10059975281712
RET-000039,ORD-000366,物流损坏,20.09607355885437
RET-000040,ORD-000251,物流损坏,28.121024765679522
RET-000041,ORD-000168,其他,39.7198521737136
RET-000042,ORD-000141,其他,37.47398636613382
RET-000043,ORD-000056,质量问题,25.435731386742322
RET-000044,ORD-000252,物流损坏,24.153701695250227
RET-000045,ORD-000359,其他,13.52410724771958
RET-000046,ORD-000141,其他,17.769828711661557
RET-000047,ORD-000010,质量问题,30.794733670313537
RET-000048,ORD-000252,其他,25.65778731135259
RET-000049,ORD-000359,物流损坏,27.937526793547725
