channel_id,country_code,gmv,cost_promo_discount,cost_ad_spend,cost_refund,cost_front_total,cost_production,cost_freight,cost_warehouse,cost_commission,cost_other,cost_back_total,gross_margin_amt,order_cnt,cost_promo_discount_pct,cost_ad_spend_pct,cost_refund_pct,cost_front_total_pct,cost_production_pct,cost_freight_pct,cost_warehouse_pct,cost_commission_pct,cost_other_pct,cost_back_total_pct,gross_margin_pct
AMZ,AU,993.96,53.46,84.22,41.72,179.4,186.67000000000002,56.67999999999999,30.0,123.36,20.01,416.72,397.84000000000003,10,0.0538,0.0847,0.042,0.1805,0.1878,0.057,0.0302,0.1241,0.0201,0.4193,0.4003
AMZ,DE,6185.16,435.35,375.45,247.74,1058.54,1274.25,334.88,198.32,719.54,132.51,2659.5,2467.12,42,0.0704,0.0607,0.0401,0.1711,0.206,0.0541,0.0321,0.1163,0.0214,0.43,0.3989
AMZ,FR,4655.45,327.84000000000003,277.56,175.67,781.07,962.76,263.05,156.82999999999998,545.99,86.66,2015.29,1859.0900000000001,34,0.0704,0.0596,0.0377,0.1678,0.2068,0.0565,0.0337,0.1173,0.0186,0.4329,0.3993
AMZ,UK,11345.1,747.68,680.53,476.91,1905.1200000000001,2276.17,605.16,390.77,1284.65,216.85999999999999,4773.61,4666.37,78,0.0659,0.06,0.042,0.1679,0.2006,0.0533,0.0344,0.1132,0.0191,0.4208,0.4113
AMZ,US,18781.47,1336.73,1239.65,716.06,3292.44,3739.06,1043.53,670.72,2152.36,373.74,7979.41,7509.62,136,0.0712,0.066,0.0381,0.1753,0.1991,0.0556,0.0357,0.1146,0.0199,0.4249,0.3998
DTC,AU,685.06,68.74,36.83,27.759999999999998,133.32999999999998,147.82999999999998,31.91,21.74,73.46,12.85,287.79,263.94,6,0.1003,0.0538,0.0405,0.1946,0.2158,0.0466,0.0317,0.1072,0.0188,0.4201,0.3853
DTC,DE,3541.82,275.96999999999997,234.14,139.48,649.59,654.39,199.61,136.88,400.15,68.36,1459.39,1432.84,22,0.0779,0.0661,0.0394,0.1834,0.1848,0.0564,0.0386,0.113,0.0193,0.412,0.4045
DTC,FR,2508.57,190.46,160.28,125.08,475.82,511.02,137.48,88.35,295.23,43.42,1075.5,957.2500000000001,20,0.0759,0.0639,0.0499,0.1897,0.2037,0.0548,0.0352,0.1177,0.0173,0.4287,0.3816
DTC,UK,6327.72,417.15999999999997,401.93,262.0,1081.09,1237.69,333.96,218.22,722.61,132.13,2644.61,2602.02,50,0.0659,0.0635,0.0414,0.1708,0.1956,0.0528,0.0345,0.1142,0.0209,0.4179,0.4112
DTC,US,13761.02,956.9300000000001,885.47,517.72,2360.12,2788.34,757.4399999999999,473.38,1584.65,260.19,5864.0,5536.9,102,0.0695,0.0643,0.0376,0.1715,0.2026,0.055,0.0344,0.1152,0.0189,0.4261,0.4024
