campaign_id,campaign_type,country_code,channel_id,dt,ad_spend,impressions,clicks,roas,ad_attributed_sales
C1,kol,US,AMZ,2026-01-01,3626.72,94518,2886,5.33,19312.6
C1,performance,US,AMZ,2026-01-02,2657.84,422958,3580,2.2,5848.73
C1,promo,US,AMZ,2026-01-03,2467.27,266877,1123,2.33,5753.92
C1,performance,US,AMZ,2026-01-04,1504.65,335913,4272,7.91,11906.51
C1,kol,US,AMZ,2026-01-05,2333.22,227408,3867,2.66,6201.27
C1,promo,US,AMZ,2026-01-06,4563.73,359799,2073,2.58,11759.61
C1,kol,US,AMZ,2026-01-07,3683.91,227586,1711,5.16,19026.43
C1,brand,US,AMZ,2026-01-08,4818.17,182232,2883,7.25,34920.34
C1,kol,US,AMZ,2026-01-09,4615.77,194954,1595,2.47,11411.07
C1,kol,US,AMZ,2026-01-10,3533.89,247687,4818,3.81,13454.89
C1,brand,US,AMZ,2026-01-11,2198.24,280849,1712,3.82,8388.14
C1,performance,US,AMZ,2026-01-12,1078.81,479643,4316,7.34,7914.06
C1,brand,US,AMZ,2026-01-13,1612.43,411788,2721,3.57,5759.94
C1,kol,US,AMZ,2026-01-14,3212.01,166049,1091,5.68,18254.1
C1,promo,US,AMZ,2026-01-15,3097.27,407162,687,7.2,22300.8
C1,promo,US,AMZ,2026-01-16,3311.15,351343,4012,5.89,19496.68
C1,brand,US,AMZ,2026-01-17,2767.5,159084,1332,3.79,10492.39
C1,performance,US,AMZ,2026-01-18,2003.97,70169,3014,5.78,11589.67
C1,kol,US,AMZ,2026-01-19,4537.84,178140,4733,4.73,21477.64
C1,promo,US,AMZ,2026-01-20,1797.33,167419,1327,3.72,6687.68
C1,brand,US,AMZ,2026-01-21,2701.47,116770,801,7.55,20383.43
C1,kol,US,AMZ,2026-01-22,3555.05,498402,1904,3.32,11788.27
C1,brand,US,AMZ,2026-01-23,3216.12,395395,569,7.13,22946.82
C1,kol,US,AMZ,2026-01-24,1551.11,246349,980,2.23,3454.2
C1,brand,US,AMZ,2026-01-25,2542.41,85561,3392,3.91,9941.11
C1,promo,US,AMZ,2026-01-26,981.46,477867,1297,5.04,4945.32
C1,performance,US,AMZ,2026-01-27,594.09,340168,4580,5.69,3380.7
C1,kol,US,AMZ,2026-01-28,2441.79,307591,4626,5.1,12442.57
C1,kol,US,AMZ,2026-01-29,3309.68,442102,1758,5.4,17875.04
C1,performance,US,AMZ,2026-01-30,4789.57,448049,2202,6.29,30134.07
C1,brand,US,DTC,2026-01-01,2532.38,223917,2623,7.66,19409.6
C1,kol,US,DTC,2026-01-02,2465.87,256659,524,4.43,10926.99
C1,promo,US,DTC,2026-01-03,2360.6,161491,1689,5.17,12202.79
C1,performance,US,DTC,2026-01-04,2550.47,429989,2867,4.3,10962.98
C1,kol,US,DTC,2026-01-05,2350.17,284745,4246,2.79,6558.06
C1,promo,US,DTC,2026-01-06,4193.31,217807,4521,4.96,20815.88
C1,promo,US,DTC,2026-01-07,4607.54,376824,3537,5.87,27067.25
C1,performance,US,DTC,2026-01-08,4056.17,473207,3806,2.81,11403.71
C1,promo,US,DTC,2026-01-09,2347.35,159388,1755,2.82,6615.36
C1,kol,US,DTC,2026-01-10,2342.25,418350,1245,2.06,4813.8
C1,performance,US,DTC,2026-01-11,2310.24,116267,1299,3.1,7156.23
C1,kol,US,DTC,2026-01-12,2056.23,277966,634,5.6,11511.24
C1,kol,US,DTC,2026-01-13,643.98,217207,2915,4.32,2783.47
