campaign_id,country_code,channel_id,dt,spend,attributed_sales,roas
C1,US,AMZ,2025-10-01,20105.99,105897.87,5.27
C1,US,AMZ,2025-11-01,24033.74,73301.41,3.05
C1,US,AMZ,2025-12-01,11132.76,65273.22,5.86
C1,US,AMZ,2026-01-01,5205.91,28730.8,5.52
C1,US,AMZ,2026-02-01,9993.21,57852.06,5.79
C1,US,DTC,2025-10-01,13557.68,50995.95,3.76
C1,US,DTC,2025-11-01,22678.02,98664.72,4.35
C1,US,DTC,2025-12-01,12948.48,54582.03,4.22
C1,US,DTC,2026-01-01,23267.67,50475.48,2.17
C1,US,DTC,2026-02-01,5279.98,20234.3,3.83
C1,UK,AMZ,2025-10-01,8295.92,38637.23,4.66
C1,UK,AMZ,2025-11-01,10351.31,38624.92,3.73
C1,UK,AMZ,2025-12-01,9941.77,41695.13,4.19
C1,UK,AMZ,2026-01-01,7901.34,16532.98,2.09
C1,UK,AMZ,2026-02-01,6278.29,36521.02,5.82
C1,UK,DTC,2025-10-01,8557.16,41364.57,4.83
C1,UK,DTC,2025-11-01,6698.16,16294.22,2.43
C1,UK,DTC,2025-12-01,17721.91,68397.42,3.86
C1,UK,DTC,2026-01-01,28789.51,166384.42,5.78
C1,UK,DTC,2026-02-01,24490.22,107962.87,4.41
C1,DE,AMZ,2025-10-01,16374.01,56076.3,3.42
C1,DE,AMZ,2025-11-01,28677.19,126513.3,4.41
C1,DE,AMZ,2025-12-01,19476.81,57020.4,2.93
C1,DE,AMZ,2026-01-01,6167.45,35652.51,5.78
C1,DE,AMZ,2026-02-01,12843.38,48424.12,3.77
C1,DE,DTC,2025-10-01,7866.0,42064.99,5.35
C1,DE,DTC,2025-11-01,5690.8,30365.9,5.34
C1,DE,DTC,2025-12-01,8507.13,47182.72,5.55
C1,DE,DTC,2026-01-01,23244.32,61799.23,2.66
C1,DE,DTC,2026-02-01,19145.45,62234.68,3.25
C2,US,AMZ,2025-10-01,9455.83,51408.78,5.44
C2,US,AMZ,2025-11-01,15088.07,54229.16,3.59
C2,US,AMZ,2025-12-01,9247.17,32663.43,3.53
C2,US,AMZ,2026-01-01,26790.42,92494.32,3.45
C2,US,AMZ,2026-02-01,28790.09,166557.45,5.79
C2,US,DTC,2025-10-01,8622.47,23360.38,2.71
C2,US,DTC,2025-11-01,26566.85,94871.38,3.57
C2,US,DTC,2025-12-01,5109.35,15815.93,3.1
C2,US,DTC,2026-01-01,19940.72,103633.2,5.2
C2,US,DTC,2026-02-01,8334.72,20354.77,2.44
C2,UK,AMZ,2025-10-01,28052.32,140390.46,5.0
C2,UK,AMZ,2025-11-01,19744.49,100237.78,5.08
C2,UK,AMZ,2025-12-01,15721.36,79138.54,5.03
C2,UK,AMZ,2026-01-01,14295.07,42547.54,2.98
C2,UK,AMZ,2026-02-01,23225.34,85438.81,3.68
C2,UK,DTC,2025-10-01,29534.43,100356.24,3.4
C2,UK,DTC,2025-11-01,28043.19,160739.36,5.73
C2,UK,DTC,2025-12-01,11046.32,57362.27,5.19
C2,UK,DTC,2026-01-01,15826.86,89739.86,5.67
C2,UK,DTC,2026-02-01,16253.11,80895.22,4.98
C2,DE,AMZ,2025-10-01,16674.19,48541.95,2.91
C2,DE,AMZ,2025-11-01,9983.75,36957.09,3.7
C2,DE,AMZ,2025-12-01,23887.37,105589.01,4.42
C2,DE,AMZ,2026-01-01,22215.73,69519.8,3.13
C2,DE,AMZ,2026-02-01,17035.88,37097.01,2.18
C2,DE,DTC,2025-10-01,25438.31,151601.35,5.96
C2,DE,DTC,2025-11-01,15171.98,31009.32,2.04
C2,DE,DTC,2025-12-01,9244.82,42619.61,4.61
