order_id,line_item_id,spu_id,sku_id,unit_price,item_qty,gmv_line
1,1,202,1001,82.49,2,164.98
1,2,202,1001,118.19,2,236.38
1,3,200,1000,87.4,2,174.8
2,1,200,1005,50.68,1,50.68
2,2,204,1005,63.05,1,63.05
3,1,208,1002,48.58,1,48.58
3,2,201,1006,53.25,2,106.5
3,3,203,1005,118.2,2,236.4
4,1,206,1002,31.62,1,31.62
4,2,207,1003,95.09,2,190.18
4,3,209,1008,52.53,1,52.53
5,1,209,1000,26.75,2,53.5
6,1,208,1004,74.78,2,149.56
6,2,208,1000,90.46,2,180.92
7,1,202,1009,59.76,1,59.76
7,2,201,1007,68.3,2,136.6
7,3,209,1006,88.98,2,177.96
8,1,205,1003,27.56,1,27.56
8,2,203,1002,63.04,1,63.04
8,3,201,1004,29.21,2,58.42
9,1,209,1008,116.5,2,233.0
9,2,205,1008,87.21,1,87.21
10,1,201,1003,44.95,2,89.9
10,2,208,1009,31.71,1,31.71
10,3,205,1002,114.47,1,114.47
11,1,203,1001,97.23,1,97.23
12,1,200,1000,25.05,1,25.05
12,2,200,1008,78.29,1,78.29
13,1,208,1009,42.05,1,42.05
13,2,205,1000,87.25,2,174.5
13,3,205,1001,20.83,2,41.66
14,1,208,1003,94.84,2,189.68
14,2,209,1002,71.27,1,71.27
14,3,208,1008,42.92,2,85.84
15,1,207,1006,91.41,2,182.82
15,2,203,1000,101.84,1,101.84
16,1,201,1007,47.08,2,94.16
17,1,209,1000,62.48,1,62.48
17,2,206,1009,79.48,1,79.48
17,3,202,1003,100.51,2,201.02
18,1,202,1009,74.43,1,74.43
18,2,207,1007,94.29,2,188.58
18,3,200,1008,97.07,1,97.07
19,1,206,1000,99.97,2,199.94
20,1,201,1007,105.98,2,211.96
21,1,209,1005,61.13,1,61.13
21,2,201,1004,69.94,2,139.88
21,3,201,1005,26.4,1,26.4
22,1,203,1005,22.19,2,44.38
22,2,205,1007,60.76,2,121.52
22,3,200,1006,41.0,2,82.0
23,1,208,1000,21.15,2,42.3
23,2,204,1000,35.95,2,71.9
23,3,201,1006,114.25,2,228.5
24,1,202,1002,102.65,1,102.65
24,2,203,1007,48.92,2,97.84
24,3,204,1009,73.56,2,147.12
25,1,206,1004,50.78,1,50.78
26,1,209,1006,57.35,2,114.7
26,2,204,1008,107.63,2,215.26
27,1,206,1005,102.89,1,102.89
27,2,209,1006,105.88,1,105.88
28,1,202,1008,105.88,2,211.76
29,1,204,1006,49.59,2,99.18
29,2,203,1006,92.19,1,92.19
29,3,207,1004,36.53,1,36.53
30,1,201,1005,93.24,1,93.24
30,2,200,1009,28.36,2,56.72
31,1,202,1003,32.15,2,64.3
31,2,206,1006,71.92,2,143.84
31,3,202,1005,59.1,1,59.1
32,1,207,1008,115.99,2,231.98
32,2,200,1002,95.39,1,95.39
32,3,209,1000,89.64,1,89.64
33,1,205,1000,52.76,2,105.52
34,1,200,1004,73.25,1,73.25
34,2,206,1007,113.31,2,226.62
35,1,204,1009,40.63,1,40.63
35,2,209,1000,87.89,1,87.89
36,1,200,1008,97.65,1,97.65
36,2,204,1009,67.43,1,67.43
36,3,205,1008,108.16,2,216.32
37,1,208,1002,102.14,1,102.14
38,1,202,1002,99.16,2,198.32
38,2,202,1004,60.46,2,120.92
38,3,207,1001,58.78,2,117.56
39,1,207,1005,40.35,2,80.7
39,2,208,1007,58.94,2,117.88
39,3,203,1008,104.79,2,209.58
40,1,205,1003,65.05,1,65.05
41,1,202,1002,24.28,1,24.28
42,1,207,1006,92.92,2,185.84
42,2,203,1009,57.45,2,114.9
42,3,201,1000,90.88,1,90.88
43,1,201,1007,83.2,2,166.4
44,1,207,1008,26.65,2,53.3
44,2,206,1009,74.8,2,149.6
44,3,204,1002,34.03,2,68.06
45,1,208,1005,36.99,1,36.99
46,1,206,1002,110.82,2,221.64
47,1,209,1004,97.43,2,194.86
48,1,209,1005,95.83,2,191.66
49,1,201,1009,44.15,1,44.15
49,2,200,1009,94.58,2,189.16
49,3,202,1009,33.37,2,66.74
50,1,200,1005,115.85,2,231.7
50,2,205,1002,46.41,1,46.41
50,3,204,1009,42.5,2,85.0
51,1,206,1005,85.47,1,85.47
51,2,203,1006,86.2,2,172.4
52,1,209,1004,98.67,2,197.34
52,2,207,1000,56.83,2,113.66
52,3,205,1004,45.96,1,45.96
53,1,207,1001,75.73,1,75.73
53,2,207,1007,52.3,2,104.6
