return_id,order_id,sku_id,country_code,channel_id,return_reason_code,is_partial_return,return_qty,return_amt
1,204,1009,US,AMZ,SHIPPING,1,1,47.24
2,267,1006,US,AMZ,QUALITY,1,2,51.33
3,153,1009,DE,DTC,COLOR,1,2,14.29
4,10,1000,UK,AMZ,SIZE,0,1,35.35
5,234,1008,US,AMZ,COLOR,1,2,60.62
6,227,1007,US,AMZ,QUALITY,1,2,24.04
7,197,1006,UK,AMZ,QUALITY,0,1,24.25
8,110,1009,US,AMZ,COLOR,1,2,10.71
9,6,1006,DE,DTC,SIZE,1,1,40.62
10,176,1004,DE,AMZ,COLOR,1,1,71.79
11,238,1004,DE,AMZ,SIZE,1,1,13.63
12,58,1004,US,AMZ,COLOR,0,1,23.38
13,219,1000,UK,AMZ,QUALITY,0,1,31.71
14,46,1007,US,AMZ,SHIPPING,1,2,61.22
15,183,1000,UK,AMZ,SHIPPING,0,1,54.84
16,222,1003,US,AMZ,SIZE,1,1,39.12
17,290,1008,UK,DTC,SIZE,0,2,63.13
18,212,1008,US,AMZ,SIZE,1,2,52.67
19,149,1004,US,AMZ,QUALITY,1,2,72.72
20,166,1003,US,AMZ,COLOR,1,1,67.26
21,79,1002,DE,AMZ,QUALITY,1,1,27.7
22,114,1002,US,AMZ,SHIPPING,1,1,29.0
23,250,1004,DE,DTC,SIZE,1,2,18.77
24,251,1009,UK,AMZ,COLOR,0,1,33.59
25,105,1000,US,AMZ,SHIPPING,1,2,79.97
26,43,1004,DE,DTC,SHIPPING,1,1,38.4
27,282,1005,UK,AMZ,SHIPPING,1,2,25.43
28,296,1006,US,DTC,QUALITY,1,1,63.37
29,158,1008,UK,AMZ,SIZE,1,1,47.97
30,239,1002,DE,AMZ,SHIPPING,1,1,20.47
31,18,1001,UK,DTC,SIZE,0,2,36.65
32,165,1002,US,DTC,QUALITY,1,2,39.01
33,34,1008,UK,AMZ,SHIPPING,1,1,62.77
34,25,1006,US,AMZ,QUALITY,0,1,11.45
35,216,1008,DE,AMZ,QUALITY,1,1,28.83
36,120,1001,DE,AMZ,SIZE,0,2,46.23
37,8,1004,UK,AMZ,SHIPPING,1,1,28.82
38,91,1003,UK,DTC,QUALITY,1,1,53.99
39,47,1001,US,DTC,SHIPPING,1,1,43.73
40,74,1008,UK,DTC,SIZE,1,1,35.32
41,94,1008,US,DTC,QUALITY,1,2,76.44
42,77,1005,UK,AMZ,SIZE,0,2,54.25
43,287,1005,US,AMZ,SHIPPING,1,1,19.1
44,61,1007,US,AMZ,SHIPPING,1,1,49.21
45,78,1005,UK,AMZ,SIZE,0,2,64.65
46,64,1000,DE,AMZ,COLOR,0,2,59.59
47,235,1003,US,AMZ,QUALITY,0,1,22.05
48,230,1006,US,AMZ,SHIPPING,0,2,78.07
49,112,1001,US,AMZ,SHIPPING,1,2,41.42
50,232,1008,UK,AMZ,QUALITY,1,1,21.13
51,181,1007,UK,AMZ,SIZE,0,2,22.61
52,145,1007,US,AMZ,SIZE,1,2,16.88
53,240,1006,US,AMZ,SIZE,0,1,66.25
54,76,1003,US,AMZ,COLOR,1,1,18.54
55,298,1001,UK,DTC,COLOR,1,2,18.76
56,279,1002,UK,AMZ,SHIPPING,0,1,69.53
57,98,1005,UK,AMZ,SIZE,1,2,34.12
58,93,1004,US,AMZ,QUALITY,1,1,12.16
59,193,1007,DE,DTC,SHIPPING,0,2,13.63
60,26,1005,UK,AMZ,QUALITY,0,1,19.95
61,233,1005,US,AMZ,SHIPPING,1,2,24.94
62,60,1000,US,AMZ,COLOR,1,2,56.56
63,7,1003,US,AMZ,SHIPPING,1,2,21.01
64,186,1004,DE,AMZ,COLOR,1,1,18.32
65,174,1002,UK,AMZ,SHIPPING,1,1,63.53
66,31,1008,DE,AMZ,SIZE,1,2,56.97
67,23,1000,DE,AMZ,QUALITY,1,2,40.47
68,257,1005,UK,DTC,SIZE,1,1,48.45
69,57,1005,DE,AMZ,SHIPPING,0,1,31.84
70,187,1009,DE,AMZ,SHIPPING,1,1,43.78
71,109,1004,US,DTC,SHIPPING,1,1,45.47
72,127,1004,US,DTC,COLOR,0,1,37.11
73,231,1009,US,AMZ,QUALITY,1,1,73.46
74,194,1004,DE,AMZ,QUALITY,0,2,11.12
75,130,1005,DE,DTC,SHIPPING,1,1,64.75
76,283,1007,US,DTC,SHIPPING,1,2,18.71
77,83,1001,US,DTC,COLOR,0,1,65.83
78,85,1005,US,DTC,SIZE,0,1,53.11
79,67,1000,UK,AMZ,SIZE,1,2,69.03
80,289,1003,UK,AMZ,QUALITY,1,2,16.83
81,164,1009,US,AMZ,COLOR,0,1,49.13
82,155,1002,UK,DTC,SHIPPING,1,2,45.08
83,20,1008,DE,AMZ,QUALITY,0,2,59.43
84,125,1002,US,DTC,COLOR,1,2,47.4
85,80,1005,US,DTC,SIZE,1,2,47.85
86,115,1000,UK,AMZ,COLOR,1,1,40.07
87,119,1005,DE,AMZ,SIZE,1,2,31.62
88,73,1003,DE,DTC,COLOR,1,1,43.76
89,16,1007,US,DTC,QUALITY,1,1,18.29
90,11,1008,UK,AMZ,SIZE,0,1,77.31
91,195,1003,UK,AMZ,QUALITY,0,1,60.01
92,102,1009,US,DTC,QUALITY,0,2,76.67
93,69,1009,US,AMZ,SIZE,1,2,25.87
94,225,1005,DE,DTC,SIZE,0,1,71.55
95,38,1000,DE,DTC,SHIPPING,1,1,66.62
96,17,1003,DE,DTC,SHIPPING,1,1,57.4
97,180,1006,DE,AMZ,SHIPPING,0,1,53.75
98,148,1000,DE,DTC,QUALITY,1,2,32.16
99,275,1007,US,AMZ,QUALITY,1,1,67.15
100,68,1009,UK,AMZ,SHIPPING,1,2,45.11
