channel_id,country_code,spu_id,voc_cnt,star_rating,good_rate,bad_rate,review_cnt,issue_type,priority
DTC_US,AU,SPU209,680,4.275,0.74,0.1875,1105,痛点,127.5
DTC_UK,AU,SPU202,564,4.225,0.7875,0.20750000000000002,929,痛点,117.03000000000002
AMZ_DE,DE,SPU207,588,4.075,0.705,0.18,1264,痛点,105.83999999999999
DTC_US,US,SPU205,577,4.15,0.7375,0.1825,1534,痛点,105.3025
AMZ_DE,FR,SPU203,676,4.125,0.76,0.155,612,痛点,104.78
DTC_US,UK,SPU201,603,4.15,0.7625,0.16999999999999998,1064,痛点,102.50999999999999
AMZ_DE,UK,SPU208,630,4.125,0.6799999999999999,0.1625,1291,痛点,102.375
AMZ_DE,UK,SPU202,509,4.25,0.8025,0.2,873,痛点,101.80000000000001
AMZ_DE,US,SPU207,660,4.225,0.72,0.1525,956,痛点,100.64999999999999
AMZ_DE,FR,SPU208,530,4.4,0.6950000000000001,0.1875,755,痛点,99.375
AMZ_US,DE,SPU201,495,3.9,0.7925,0.2,661,痛点,99.0
AMZ_US,UK,SPU203,509,3.95,0.73,0.185,816,痛点,94.16499999999999
AMZ_DE,DE,SPU208,509,4.0,0.8225,0.1825,763,痛点,92.8925
AMZ_US,AU,SPU209,589,4.05,0.685,0.1575,1147,痛点,92.7675
AMZ_US,DE,SPU203,597,4.475,0.75,0.155,598,痛点,92.535
DTC_UK,DE,SPU206,608,4.025,0.72,0.15,699,中性,91.2
DTC_US,DE,SPU204,503,4.15,0.7525,0.18,1186,痛点,90.53999999999999
AMZ_DE,UK,SPU207,608,4.324999999999999,0.785,0.14750000000000002,932,中性,89.68
AMZ_DE,AU,SPU206,503,4.425,0.7475,0.1775,1079,痛点,89.2825
DTC_US,DE,SPU207,539,3.975,0.735,0.165,1253,痛点,88.935
AMZ_DE,FR,SPU209,453,4.15,0.74,0.1925,858,痛点,87.2025
DTC_US,FR,SPU201,594,4.025,0.7175,0.14500000000000002,1401,中性,86.13000000000001
DTC_UK,AU,SPU208,531,4.375,0.7675,0.16,1032,痛点,84.96000000000001
AMZ_UK,US,SPU204,506,4.2,0.7275,0.165,826,痛点,83.49000000000001
AMZ_UK,DE,SPU201,470,4.375,0.8075,0.1775,1019,痛点,83.425
AMZ_US,FR,SPU204,457,3.95,0.8125,0.1825,1068,痛点,83.4025
AMZ_UK,UK,SPU202,548,4.0,0.795,0.15,1178,中性,82.2
AMZ_UK,UK,SPU203,670,4.1,0.7075,0.12250000000000001,1505,中性,82.075
AMZ_US,US,SPU208,537,4.15,0.8125,0.1525,1407,痛点,81.8925
AMZ_DE,US,SPU202,604,3.975,0.7475,0.135,1382,中性,81.54
DTC_US,UK,SPU205,428,4.025,0.7425,0.19,909,痛点,81.32000000000001
AMZ_US,UK,SPU208,427,4.475,0.81,0.19,744,痛点,81.13
AMZ_UK,UK,SPU205,454,4.025,0.7175,0.1775,688,痛点,80.585
AMZ_US,FR,SPU201,544,4.075,0.78,0.14750000000000002,687,中性,80.24000000000001
AMZ_DE,US,SPU201,573,4.1,0.825,0.14,991,亮点,80.22000000000001
DTC_US,DE,SPU202,509,3.9,0.8,0.1575,1080,痛点,80.1675
AMZ_DE,UK,SPU205,488,4.325,0.7375,0.1625,1166,痛点,79.3
DTC_US,DE,SPU205,390,4.325,0.7175,0.2025,1093,痛点,78.97500000000001
DTC_US,US,SPU206,549,4.15,0.7575,0.14250000000000002,795,中性,78.2325
DTC_UK,AU,SPU205,340,4.225,0.76,0.22999999999999998,1121,痛点,78.19999999999999
AMZ_US,UK,SPU209,389,4.15,0.735,0.2,991,痛点,77.80000000000001
AMZ_UK,UK,SPU207,388,3.975,0.75,0.2,1102,痛点,77.60000000000001
AMZ_DE,FR,SPU204,481,4.025,0.7175,0.16,1113,痛点,76.96000000000001
DTC_US,AU,SPU205,495,4.275,0.7825,0.155,1490,痛点,76.725
