priority,module,category,metric_name,definition,formula,dimensions,rules,confirmation,follow_up,owner,source_table,source_field_or_logic,notes
P0,履约明细,明细默认列,平台单号,订单在对应平台的原始单号,,,,,,,lute_os.t_erp_order,ref_no,订单号 erp_code，平台单号ref_no
P0,履约明细,明细默认列,订单号,系统内生成的自发货订单唯一编号,,,因为拆单废弃的不统计，比如CO单又被拆分成_1和_2，这样只看拆后的那两个。其他类型的废弃需要计算在内；整单只有虚拟商品的暂不剔除只做标记,,,,lute_os.t_erp_order,erp_code,订单号 erp_code，平台单号ref_no
P0,履约明细,明细默认列,订单状态,订单的核心状态粗分类，如待审核、已发货、已取消等,,,,,,,lute_os.t_erp_order,order_status映射大状态,
P0,履约明细,明细默认列,异常标识,订单异常类型的细分标识，如地址异常、库存异常等,,,,,,,lute_os.t_erp_order,order_status--这些小状态,"WAIT_OS_AUTH(202, ErpOrderStatusBigTypeEnum.WAIT_AUTH, ""待审核""),

WAIT_SEND(ErpOrderStatusBigTypeEnum.WAIT_SEND.getType(), ErpOrderStatusBigTypeEnum.WAIT_SEND, ErpOrderStatusBigTypeEnum.WAIT_SEND.getDesc()),

SEND(ErpOrderStatusBigTypeEnum.SEND.getType(), ErpOrderStatusBigTypeEnum.SEND, ErpOrderStatusBigTypeEnum.SEND.getDesc()),

ABANDON(ErpOrderStatusBigTypeEnum.ABANDON.getType(), ErpOrderStatusBigTypeEnum.ABANDON, ErpOrderStatusBigTypeEnum.ABANDON.getDesc())



OUT_OF_STOCK_ERROR_OS(506, ErpOrderStatusBigTypeEnum.ERROR, ""缺货(OS)""),

CANCEL_ERROR(511, ErpOrderStatusBigTypeEnum.ERROR, ""订单取消失败""),

REVERSE_ERROR(516, ErpOrderStatusBigTypeEnum.ERROR, ""预占失败""),

COMMIT_OUT_ERROR(517, ErpOrderStatusBigTypeEnum.ERROR, ""提交出库失败""),

OUTBOUND_FAILED_ERROR(518, ErpOrderStatusBigTypeEnum.ERROR, ""仓库出库失败""),

CANCEL_REVERSE_ERROR(530, ErpOrderStatusBigTypeEnum.ERROR, ""取消预占失败""),

MSKU_NOT_MAPPING_ERROR(538, ErpOrderStatusBigTypeEnum.ERROR, ""MSKU未配对""),

THIRD_SKU_NOT_MAPPING_ERROR(531, ErpOrderStatusBigTypeEnum.ERROR, ""三方仓SKU未配对""),

WAREHOUSE_LOGISTIC_NOT_MAPPING_ERROR(532, ErpOrderStatusBigTypeEnum.ERROR, ""未匹配仓库/物流""),

MARK_SHIPPED_ERROR(533, ErpOrderStatusBigTypeEnum.ERROR, ""标发异常""),

CREATE_FBA_ERROR(534, ErpOrderStatusBigTypeEnum.ERROR, ""转FBA创建失败""),

SHIPPING_FBA_ERROR(535, ErpOrderStatusBigTypeEnum.ERROR, ""转FBA配送异常""),

FREEZE_ERROR(536, ErpOrderStatusBigTypeEnum.ERROR, ""禁止处理""),

LOGISTICS_ORDER_ERROR(537, ErpOrderStatusBigTypeEnum.ERROR, ""物流下单失败""),

CANCEL_OUTBOUND_ERROR(539, ErpOrderStatusBigTypeEnum.ERROR, ""平台退款截单异常""),"
P1,履约明细,,异常信息,订单异常信息备注,,,,,,,lute_os.t_erp_order,error_remark,
P0,履约明细,,订单标签,订单附带的业务标签，如风险等级、退款状态、渠道标识等,,,一个订单多个标签的要先合并取出,,,,lute_os.t_erp_order_label,label_name,标签=Shopify-部分退款/Shopify-中风险
P0,履约明细,明细默认列,标发状态,订单标记发货的执行状态，如标发成功、标发失败,,,,,,,lute_os.t_erp_order,mark_shipped_status,
P0,履约明细,,渠道,订单来源的销售平台/渠道，如Shopify、亚马逊等,,,,,,,lute_os.t_erp_order,channel,平台
P0,履约明细,明细默认列、首页筛选器,收件人区域,订单收件地址所在国家归属的地理区域,,,国家维表关联,,,,lute_os.t_erp_order_receive、t_sys_country,根据国家关联t_sys_country,
P0,履约明细,明细默认列、首页筛选器,收件人国家,订单收件地址所在的国家/地区,,,,,,,lute_os.t_erp_order_receive,country,
