order_id,return_id,sku_id,spu_id,country_code,channel_id,return_reason_code,is_partial_return,theme_suggested
362,RET00001,1014,209,UK,AMZ,COLOR,1,部分退组合问题_原因COLOR
362,RET00002,1006,203,UK,AMZ,SIZE,1,部分退组合问题_原因SIZE
74,RET00003,1003,208,UK,AMZ,SIZE,1,部分退组合问题_原因SIZE
74,RET00004,1004,201,UK,AMZ,NOT_AS_DESCRIBED,0,整单退款_原因NOT_AS_DESCRIBED
375,RET00005,1006,205,US,AMZ,SHIPPING,0,整单退款_原因SHIPPING
375,RET00006,1012,205,US,AMZ,QUALITY,1,部分退组合问题_原因QUALITY
156,RET00007,1003,204,US,DTC,QUALITY,1,部分退组合问题_原因QUALITY
105,RET00008,1002,202,US,DTC,QUALITY,1,部分退组合问题_原因QUALITY
105,RET00009,1010,207,US,DTC,SHIPPING,1,部分退组合问题_原因SHIPPING
395,RET00010,1006,201,UK,AMZ,NO_REASON,1,部分退组合问题_原因NO_REASON
395,RET00011,1018,209,UK,AMZ,COLOR,1,部分退组合问题_原因COLOR
378,RET00012,1015,201,UK,AMZ,SHIPPING,1,部分退组合问题_原因SHIPPING
378,RET00013,1006,209,UK,AMZ,DEFECTIVE,1,部分退组合问题_原因DEFECTIVE
125,RET00014,1007,209,UK,DTC,COLOR,1,部分退组合问题_原因COLOR
69,RET00015,1003,203,FR,AMZ,SHIPPING,1,部分退组合问题_原因SHIPPING
451,RET00016,1000,205,UK,AMZ,COLOR,1,部分退组合问题_原因COLOR
10,RET00017,1005,207,DE,AMZ,NO_REASON,1,部分退组合问题_原因NO_REASON
195,RET00018,1003,206,US,AMZ,QUALITY,1,部分退组合问题_原因QUALITY
407,RET00019,1003,204,DE,DTC,NO_REASON,1,部分退组合问题_原因NO_REASON
407,RET00020,1006,201,DE,DTC,DEFECTIVE,1,部分退组合问题_原因DEFECTIVE
85,RET00021,1019,209,UK,DTC,DEFECTIVE,1,部分退组合问题_原因DEFECTIVE
85,RET00022,1009,204,UK,DTC,NOT_AS_DESCRIBED,1,部分退组合问题_原因NOT_AS_DESCRIBED
372,RET00023,1001,202,US,AMZ,QUALITY,0,整单退款_原因QUALITY
372,RET00024,1013,201,US,AMZ,QUALITY,1,部分退组合问题_原因QUALITY
389,RET00025,1015,205,US,DTC,NO_REASON,0,整单退款_原因NO_REASON
496,RET00026,1004,208,US,DTC,SIZE,1,部分退组合问题_原因SIZE
496,RET00027,1009,204,US,DTC,SIZE,1,部分退组合问题_原因SIZE
31,RET00028,1005,200,DE,AMZ,NOT_AS_DESCRIBED,1,部分退组合问题_原因NOT_AS_DESCRIBED
317,RET00029,1012,202,UK,AMZ,COLOR,0,整单退款_原因COLOR
409,RET00030,1002,209,US,AMZ,SIZE,0,整单退款_原因SIZE
491,RET00031,1000,200,DE,AMZ,QUALITY,1,部分退组合问题_原因QUALITY
491,RET00032,1010,203,DE,AMZ,DEFECTIVE,1,部分退组合问题_原因DEFECTIVE
492,RET00033,1007,205,UK,AMZ,SIZE,1,部分退组合问题_原因SIZE
281,RET00034,1014,209,UK,AMZ,NOT_AS_DESCRIBED,1,部分退组合问题_原因NOT_AS_DESCRIBED
357,RET00035,1014,208,US,DTC,NOT_AS_DESCRIBED,1,部分退组合问题_原因NOT_AS_DESCRIBED
357,RET00036,1011,203,US,DTC,NOT_AS_DESCRIBED,0,整单退款_原因NOT_AS_DESCRIBED
77,RET00037,1007,204,US,AMZ,COLOR,0,整单退款_原因COLOR
462,RET00038,1010,202,UK,DTC,COLOR,1,部分退组合问题_原因COLOR
498,RET00039,1001,201,US,AMZ,DEFECTIVE,1,部分退组合问题_原因DEFECTIVE
212,RET00040,1016,206,UK,AMZ,COLOR,1,部分退组合问题_原因COLOR
