owner,packet_type,gate_id,target_ref,metric_code,metric_name,decision_result,evidence_ref,signoff_date,scope,rollback_rule,status_mutation,boundary_note
库存运营 Owner,owner_signoff,signoff_8,SCM-MECE-L3-027,business_available_qty,业务可用库存,,,,,,false,manual_receipt_template_only_status_mutation_false
库存运营 Owner,owner_signoff,signoff_9,SCM-MECE-L3-032,stocking_planned_inventory_qty,备货计划库存,,,,,,false,manual_receipt_template_only_status_mutation_false
库存运营 Owner,owner_signoff,signoff_16,SCM-MECE-L3-044,negative_available_inventory_count,负可用库存经营主键数,,,,,,false,manual_receipt_template_only_status_mutation_false
库存运营 Owner,owner_signoff,signoff_19,SCM-MECE-L3-056,inventory_count_accuracy_rate,盘点准确率,,,,,,false,manual_receipt_template_only_status_mutation_false
库存运营 Owner,owner_signoff,signoff_10,SCM-MECE-L3-113,sku_oos_rate,SKU 缺货率,,,,,,false,manual_receipt_template_only_status_mutation_false
库存运营 Owner,owner_signoff,signoff_11,SCM-MECE-L3-114,unit_oos_rate,件数缺货率,,,,,,false,manual_receipt_template_only_status_mutation_false
库存运营 Owner,owner_signoff,signoff_12,SCM-MECE-L3-115,gmv_oos_rate,金额缺货率,,,,,,false,manual_receipt_template_only_status_mutation_false
库存运营 Owner,owner_signoff,signoff_13,SCM-MECE-L3-116,stockout_loss_amount,断货损失金额,,,,,,false,manual_receipt_template_only_status_mutation_false
库存运营 Owner,owner_signoff,signoff_14,SCM-MECE-L3-117,safety_stock_coverage_rate,安全库存覆盖率,,,,,,false,manual_receipt_template_only_status_mutation_false
库存运营 Owner,owner_signoff,signoff_15,SCM-MECE-L3-118,inventory_sales_match_score,库存-销售匹配度,,,,,,false,manual_receipt_template_only_status_mutation_false
库存运营 Owner,owner_signoff,signoff_17,SCM-MECE-L3-122,storage_capacity_utilization_rate,库容利用率,,,,,,false,manual_receipt_template_only_status_mutation_false
库存运营 Owner,owner_signoff,signoff_18,SCM-MECE-L3-124,picking_uph,拣货效率 UPH,,,,,,false,manual_receipt_template_only_status_mutation_false
库存运营 Owner,field_mapping,mapping_46,SCM-MECE-L3-113,sku_oos_rate,SKU 缺货率,,,,,,false,manual_receipt_template_only_status_mutation_false
库存运营 Owner,field_mapping,mapping_48,SCM-MECE-L3-114,unit_oos_rate,件数缺货率,,,,,,false,manual_receipt_template_only_status_mutation_false
库存运营 Owner,field_mapping,mapping_43,SCM-MECE-L3-115,gmv_oos_rate,金额缺货率,,,,,,false,manual_receipt_template_only_status_mutation_false
库存运营 Owner,field_mapping,mapping_47,SCM-MECE-L3-116,stockout_loss_amount,断货损失金额,,,,,,false,manual_receipt_template_only_status_mutation_false
库存运营 Owner,field_mapping,mapping_45,SCM-MECE-L3-117,safety_stock_coverage_rate,安全库存覆盖率,,,,,,false,manual_receipt_template_only_status_mutation_false
库存运营 Owner,field_mapping,mapping_52,SCM-MECE-L3-118,inventory_sales_match_score,库存-销售匹配度,,,,,,false,manual_receipt_template_only_status_mutation_false
